Route,Cost,Region,Time
Distribution Centre Auckland--Countdown Airport--Countdown Takanini--SuperValue Flatbush--Distribution Centre Auckland,911.7868055555555,SR1,4.042861111111111
Distribution Centre Auckland--Countdown Airport--Countdown Takanini--SuperValue Papakura--Distribution Centre Auckland,982.9636805555557,SR1,4.3016861111111115
Distribution Centre Auckland--Countdown Airport--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland,925.713263888889,SR1,4.093502777777778
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Manukau--Distribution Centre Auckland,859.15125,SR1,3.81845
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Manukau Mall--Distribution Centre Auckland,873.7006250000001,SR1,3.883113888888889
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Manurewa--Distribution Centre Auckland,883.985,SR1,3.928822222222222
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Papatoetoe--Distribution Centre Auckland,857.3606249999999,SR1,3.810491666666666
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Takanini--Distribution Centre Auckland,912.9395138888888,SR1,4.047052777777777
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--SuperValue Flatbush--Distribution Centre Auckland,795.98125,SR1,3.5376944444444445
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--SuperValue Papakura--Distribution Centre Auckland,931.8427083333333,SR1,4.1157916666666665
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Countdown Manukau Mall--Distribution Centre Auckland,864.4449999999999,SR1,3.8419777777777777
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Countdown Manurewa--Distribution Centre Auckland,901.4032638888888,SR1,4.005102777777777
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Countdown Papatoetoe--Distribution Centre Auckland,863.9237499999999,SR1,3.839661111111111
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Countdown Takanini--Distribution Centre Auckland,916.7757638888888,SR1,4.0610027777777775
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--SuperValue Flatbush--Distribution Centre Auckland,782.56,SR1,3.478044444444444
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--SuperValue Papakura--Distribution Centre Auckland,935.6789583333334,SR1,4.129741666666667
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--Countdown Manurewa--Distribution Centre Auckland,919.1858333333334,SR1,4.069766666666667
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--Countdown Papatoetoe--Distribution Centre Auckland,890.8125,SR1,3.9591666666666665
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--Countdown Takanini--Distribution Centre Auckland,934.0999999999999,SR1,4.124
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--SuperValue Flatbush--Distribution Centre Auckland,804.84125,SR1,3.5770722222222218
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--SuperValue Papakura--Distribution Centre Auckland,953.0024305555556,SR1,4.192736111111111
Distribution Centre Auckland--Countdown Mangere East--Countdown Manurewa--Countdown Papatoetoe--Distribution Centre Auckland,925.3763888888888,SR1,4.0922777777777775
Distribution Centre Auckland--Countdown Mangere East--Countdown Manurewa--Countdown Takanini--Distribution Centre Auckland,954.9251388888888,SR1,4.1997277777777775
Distribution Centre Auckland--Countdown Mangere East--Countdown Manurewa--SuperValue Flatbush--Distribution Centre Auckland,834.5406249999999,SR1,3.709069444444444
Distribution Centre Auckland--Countdown Mangere East--Countdown Manurewa--SuperValue Papakura--Distribution Centre Auckland,976.3972916666668,SR1,4.277808333333334
Distribution Centre Auckland--Countdown Mangere East--Countdown Papakura--SuperValue Flatbush--Distribution Centre Auckland,991.9072916666668,SR1,4.334208333333334
Distribution Centre Auckland--Countdown Mangere East--Countdown Papakura--SuperValue Papakura--Distribution Centre Auckland,1015.917847222222,SR1,4.421519444444444
Distribution Centre Auckland--Countdown Mangere East--Countdown Papatoetoe--Countdown Takanini--Distribution Centre Auckland,945.9433333333332,SR1,4.167066666666666
Distribution Centre Auckland--Countdown Mangere East--Countdown Papatoetoe--SuperValue Flatbush--Distribution Centre Auckland,798.1218749999999,SR1,3.547208333333333
Distribution Centre Auckland--Countdown Mangere East--Countdown Papatoetoe--SuperValue Papakura--Distribution Centre Auckland,964.8457638888889,SR1,4.235802777777778
Distribution Centre Auckland--Countdown Mangere East--Countdown Takanini--SuperValue Flatbush--Distribution Centre Auckland,851.24625,SR1,3.783316666666667
Distribution Centre Auckland--Countdown Mangere East--Countdown Takanini--SuperValue Papakura--Distribution Centre Auckland,911.5889583333334,SR1,4.042141666666667
Distribution Centre Auckland--Countdown Mangere East--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland,863.833125,SR1,3.8392583333333334
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Countdown Manukau Mall--Distribution Centre Auckland,871.0237500000001,SR1,3.8712166666666668
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Countdown Manurewa--Distribution Centre Auckland,909.4439583333332,SR1,4.034341666666666
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Countdown Papatoetoe--Distribution Centre Auckland,870.5024999999999,SR1,3.8688999999999996
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Countdown Takanini--Distribution Centre Auckland,924.8164583333333,SR1,4.0902416666666666
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--SuperValue Flatbush--Distribution Centre Auckland,789.1387500000001,SR1,3.5072833333333335
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--SuperValue Papakura--Distribution Centre Auckland,943.7196527777779,SR1,4.158980555555556
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--Countdown Manurewa--Distribution Centre Auckland,927.2265277777777,SR1,4.099005555555555
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--Countdown Papatoetoe--Distribution Centre Auckland,897.3912499999999,SR1,3.988405555555555
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--Countdown Takanini--Distribution Centre Auckland,942.1406944444444,SR1,4.153238888888889
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--SuperValue Flatbush--Distribution Centre Auckland,811.4200000000001,SR1,3.6063111111111112
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--SuperValue Papakura--Distribution Centre Auckland,961.0431249999999,SR1,4.221975
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manurewa--Countdown Papatoetoe--Distribution Centre Auckland,933.4170833333333,SR1,4.1215166666666665
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manurewa--Countdown Takanini--Distribution Centre Auckland,962.9658333333335,SR1,4.228966666666667
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manurewa--SuperValue Flatbush--Distribution Centre Auckland,841.119375,SR1,3.7383083333333333
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manurewa--SuperValue Papakura--Distribution Centre Auckland,984.4379861111113,SR1,4.307047222222223
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papakura--SuperValue Flatbush--Distribution Centre Auckland,999.9479861111113,SR1,4.363447222222223
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papakura--SuperValue Papakura--Distribution Centre Auckland,1023.9585416666669,SR1,4.450758333333334
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papatoetoe--Countdown Takanini--Distribution Centre Auckland,967.6263194444443,SR1,4.2459138888888885
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papatoetoe--SuperValue Flatbush--Distribution Centre Auckland,815.8625,SR1,3.6260555555555554
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papatoetoe--SuperValue Papakura--Distribution Centre Auckland,986.5287500000001,SR1,4.31465
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Takanini--SuperValue Flatbush--Distribution Centre Auckland,857.824375,SR1,3.812552777777778
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Takanini--SuperValue Papakura--Distribution Centre Auckland,919.628888888889,SR1,4.071377777777778
Distribution Centre Auckland--Countdown Mangere Mall--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland,870.411875,SR1,3.8684972222222225
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--Countdown Manurewa--Distribution Centre Auckland,928.1347916666668,SR1,4.102308333333334
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--Countdown Papatoetoe--Distribution Centre Auckland,898.134375,SR1,3.9917083333333334
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--Countdown Takanini--Distribution Centre Auckland,943.0489583333333,SR1,4.156541666666667
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--SuperValue Flatbush--Distribution Centre Auckland,812.163125,SR1,3.609613888888889
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--SuperValue Papakura--Distribution Centre Auckland,961.951388888889,SR1,4.225277777777778
Distribution Centre Auckland--Countdown Manukau--Countdown Manurewa--Countdown Papatoetoe--Distribution Centre Auckland,966.6149305555555,SR1,4.242236111111111
Distribution Centre Auckland--Countdown Manukau--Countdown Manurewa--Countdown Takanini--Distribution Centre Auckland,996.1636805555554,SR1,4.349686111111111
Distribution Centre Auckland--Countdown Manukau--Countdown Manurewa--SuperValue Flatbush--Distribution Centre Auckland,868.2812499999999,SR1,3.859027777777777
Distribution Centre Auckland--Countdown Manukau--Countdown Manurewa--SuperValue Papakura--Distribution Centre Auckland,1017.6358333333334,SR1,4.427766666666667
Distribution Centre Auckland--Countdown Manukau--Countdown Papakura--SuperValue Flatbush--Distribution Centre Auckland,1016.0049305555556,SR1,4.421836111111111
Distribution Centre Auckland--Countdown Manukau--Countdown Papakura--SuperValue Papakura--Distribution Centre Auckland,1040.0154861111112,SR1,4.509147222222222
Distribution Centre Auckland--Countdown Manukau--Countdown Papatoetoe--Countdown Takanini--Distribution Centre Auckland,987.8686111111108,SR1,4.319522222222221
Distribution Centre Auckland--Countdown Manukau--Countdown Papatoetoe--SuperValue Flatbush--Distribution Centre Auckland,832.4243749999999,SR1,3.6996638888888884
Distribution Centre Auckland--Countdown Manukau--Countdown Papatoetoe--SuperValue Papakura--Distribution Centre Auckland,1006.7710416666669,SR1,4.388258333333334
Distribution Centre Auckland--Countdown Manukau--Countdown Takanini--SuperValue Flatbush--Distribution Centre Auckland,870.9618750000001,SR1,3.870941666666667
Distribution Centre Auckland--Countdown Manukau--Countdown Takanini--SuperValue Papakura--Distribution Centre Auckland,935.6858333333333,SR1,4.129766666666667
Distribution Centre Auckland--Countdown Manukau--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland,866.989375,SR1,3.853286111111111
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Manurewa--Countdown Takanini--Distribution Centre Auckland,1013.94625,SR1,4.41435
