Route, Time [min] 
Distribution Centre Auckland--Countdown Manukau--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland, 216.19716666666667
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Manurewa--SuperValue Flatbush--Distribution Centre Auckland, 235.42149999999998
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Papakura--SuperValue Papakura--Distribution Centre Auckland, 236.8285
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Papatoetoe--SuperValue Flatbush--Distribution Centre Auckland, 229.15016666666668
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Takanini--SuperValue Flatbush--Distribution Centre Auckland, 236.03633333333335
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Takanini--SuperValue Papakura--Distribution Centre Auckland, 236.56583333333333
Distribution Centre Auckland--Countdown Manukau Mall--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland, 222.13883333333334
Distribution Centre Auckland--Countdown Manurewa--Countdown Papatoetoe--SuperValue Flatbush--Distribution Centre Auckland, 237.13683333333336
Distribution Centre Auckland--Countdown Manurewa--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland, 230.05866666666668
Distribution Centre Auckland--Countdown Papakura--Countdown Roselands--SuperValue Papakura--Distribution Centre Auckland, 235.0625
Distribution Centre Auckland--Countdown Papakura--Countdown Takanini--SuperValue Flatbush--Distribution Centre Auckland, 237.0005
Distribution Centre Auckland--Countdown Papakura--Countdown Takanini--SuperValue Papakura--Distribution Centre Auckland, 237.53
Distribution Centre Auckland--Countdown Papatoetoe--Countdown Takanini--SuperValue Flatbush--Distribution Centre Auckland, 238.38866666666667
Distribution Centre Auckland--Countdown Papatoetoe--Countdown Takanini--SuperValue Papakura--Distribution Centre Auckland, 238.91816666666665
Distribution Centre Auckland--Countdown Papatoetoe--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland, 220.11533333333333
Distribution Centre Auckland--Countdown Takanini--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland, 234.51350000000002
SR5
Distribution Centre Auckland--Countdown Auckland City--Countdown Greenlane--Distribution Centre Auckland, 202.161
Distribution Centre Auckland--Countdown Auckland City--Countdown Grey Lynn--Distribution Centre Auckland, 205.11566666666667
Distribution Centre Auckland--Countdown Auckland City--Countdown Grey Lynn Central--Distribution Centre Auckland, 204.456
Distribution Centre Auckland--Countdown Auckland City--Countdown Metro Albert Street--Distribution Centre Auckland, 167.21883333333335
Distribution Centre Auckland--Countdown Auckland City--Countdown Metro Halsey Street--Distribution Centre Auckland, 164.14800000000002
Distribution Centre Auckland--Countdown Auckland City--Countdown Mt Eden--Distribution Centre Auckland, 194.0335
Distribution Centre Auckland--Countdown Auckland City--Countdown Mt Roskill--Distribution Centre Auckland, 196.31650000000002
Distribution Centre Auckland--Countdown Auckland City--Countdown Newmarket--Distribution Centre Auckland, 195.491
Distribution Centre Auckland--Countdown Auckland City--Countdown Onehunga--Distribution Centre Auckland, 193.10549999999998
Distribution Centre Auckland--Countdown Auckland City--Countdown Ponsonby--Distribution Centre Auckland, 201.40733333333333
Distribution Centre Auckland--Countdown Auckland City--Countdown Pt Chevalier--Distribution Centre Auckland, 203.35433333333333
Distribution Centre Auckland--Countdown Auckland City--Countdown St Johns--Distribution Centre Auckland, 206.23333333333332
Distribution Centre Auckland--Countdown Auckland City--Countdown St Lukes--Distribution Centre Auckland, 193.84083333333334
Distribution Centre Auckland--Countdown Auckland City--Countdown Three Kings--Distribution Centre Auckland, 205.47833333333332
Distribution Centre Auckland--Countdown Auckland City--Countdown Victoria Street West--Distribution Centre Auckland, 205.67933333333332
Distribution Centre Auckland--Countdown Greenlane--Countdown Grey Lynn--Distribution Centre Auckland, 197.082
Distribution Centre Auckland--Countdown Greenlane--Countdown Grey Lynn Central--Distribution Centre Auckland, 193.97266666666667
Distribution Centre Auckland--Countdown Greenlane--Countdown Metro Albert Street--Distribution Centre Auckland, 168.0138333333333
Distribution Centre Auckland--Countdown Greenlane--Countdown Metro Halsey Street--Distribution Centre Auckland, 162.76666666666668
Distribution Centre Auckland--Countdown Greenlane--Countdown Mt Eden--Distribution Centre Auckland, 178.11533333333335
Distribution Centre Auckland--Countdown Greenlane--Countdown Mt Roskill--Distribution Centre Auckland, 180.21766666666667
Distribution Centre Auckland--Countdown Greenlane--Countdown Newmarket--Distribution Centre Auckland, 181.6833333333333
Distribution Centre Auckland--Countdown Greenlane--Countdown Onehunga--Distribution Centre Auckland, 168.77466666666666
Distribution Centre Auckland--Countdown Greenlane--Countdown Ponsonby--Distribution Centre Auckland, 193.60699999999997
Distribution Centre Auckland--Countdown Greenlane--Countdown Pt Chevalier--Distribution Centre Auckland, 193.6675
Distribution Centre Auckland--Countdown Greenlane--Countdown St Johns--Distribution Centre Auckland, 191.5413333333333
Distribution Centre Auckland--Countdown Greenlane--Countdown St Lukes--Distribution Centre Auckland, 184.154
Distribution Centre Auckland--Countdown Greenlane--Countdown Three Kings--Distribution Centre Auckland, 188.2175
Distribution Centre Auckland--Countdown Greenlane--Countdown Victoria Street West--Distribution Centre Auckland, 202.8648333333333
Distribution Centre Auckland--Countdown Grey Lynn--Countdown Grey Lynn Central--Distribution Centre Auckland, 190.496
Distribution Centre Auckland--Countdown Grey Lynn--Countdown Metro Albert Street--Distribution Centre Auckland, 171.88833333333332
